,0,1,2,3
0,1038,380,130,130
1,1028,380,130,130
2,1018,375,130,130
3,1006,372,130,130
4,991,369,130,130
5,972,368,130,130
6,945,364,130,130
7,922,360,130,130
8,899,361,130,130
9,880,357,130,130
10,862,353,130,130
11,842,347,130,130
12,821,343,130,130
13,799,342,130,130
14,777,342,130,130
15,756,345,130,130
16,733,344,130,130
17,706,346,130,130
18,679,344,130,130
19,645,344,130,130
20,611,346,130,130
21,586,351,130,130
22,556,353,130,130
23,535,352,130,130
24,509,358,130,130
25,483,363,130,130
26,452,370,130,130
27,423,378,130,130
28,387,389,130,130
29,359,394,130,130
30,335,391,130,130
31,302,399,130,130
32,278,398,130,130
33,246,410,130,130
34,219,420,130,130
35,196,420,130,130
36,165,434,130,130
37,149,429,130,130
38,115,437,130,130
39,103,422,130,130
40,95,392,130,130
41,99,404,130,130
42,81,358,130,130
43,39,410,130,130
44,50,377,130,130
45,43,374,130,130
46,43,381,130,130
47,44,368,130,130
48,48,371,130,130
49,58,358,130,130
50,62,357,130,130
51,65,362,130,130
52,72,360,130,130
53,86,350,130,130
54,86,354,130,130
55,103,339,130,130
56,114,342,130,130
57,131,340,130,130
58,140,357,130,130
59,169,343,130,130
60,189,346,130,130
61,205,352,130,130
62,228,348,130,130
63,252,351,130,130
64,274,352,130,130
65,305,346,130,130
66,332,350,130,130
67,362,346,130,130
68,391,348,130,130
69,420,350,130,130
70,452,347,130,130
71,479,354,130,130
72,516,357,130,130
73,541,359,130,130
74,576,358,130,130
75,615,359,130,130
76,648,362,130,130
77,685,361,130,130
78,720,360,130,130
79,756,359,130,130
80,788,356,130,130
81,820,350,130,130
82,857,345,130,130
83,885,340,130,130
84,917,333,130,130
85,944,331,130,130
86,972,336,130,130
87,993,336,130,130
88,1029,335,130,130
89,1050,338,130,130
90,1073,331,130,130
91,1086,330,130,130
92,1096,326,130,130
93,1097,329,130,130
94,1107,331,130,130
95,1112,332,130,130
96,1118,329,130,130
97,1115,329,130,130
98,1114,330,130,130
99,1110,328,130,130
100,1102,326,130,130
101,1094,328,130,130
102,1089,325,130,130
103,1088,327,130,130
104,1082,332,130,130
105,1075,333,130,130
106,1076,331,130,130
107,1075,330,130,130
108,1073,327,130,130
